PARK,PARK NUMBER,FACILITY NAME,FACILITY TYPE,X COORDINATE,Y COORDINATE,LOCATION
JACKSON (ANDREW),19,BOAT SLIPS,OUTDOOR,1191601.50966,1862301.24951,"(41.777152000000001, -87.573136000000005)"
JACKSON (ANDREW),19,BOAT SLIPS,OUTDOOR,1190267.2993999999,1862666.922,"(41.778187000000003, -87.578014999999994)"
JACKSON (ANDREW),19,BOAT SLIPS,OUTDOOR,1189852.21165,1866155.6351699999,"(41.787770999999999, -87.579424000000003)"
JACKSON (ANDREW),19,BASKETBALL COURT,OUTDOOR,1190721.5734300001,1864043.1905799999,"(41.781953000000001, -87.576305000000005)"
JACKSON (ANDREW),19,BASKETBALL COURT,OUTDOOR,1190674.3510799999,1864011.24609,"(41.781866000000001, -87.576479000000006)"
JACKSON (ANDREW),19,BASKETBALL BACKBOARD,OUTDOOR,1190747.2679300001,1864004.30155,"(41.781846000000002, -87.576211999999998)"
JACKSON (ANDREW),19,BASKETBALL BACKBOARD,OUTDOOR,1190694.49015,1864084.16261,"(41.782066, -87.576402999999999)"
JACKSON (ANDREW),19,BASKETBALL BACKBOARD,OUTDOOR,1190649.3511300001,1864052.2181200001,"(41.781979, -87.576570000000004)"
JACKSON (ANDREW),19,BASKETBALL BACKBOARD,OUTDOOR,1190700.0455799999,1863972.3570600001,"(41.781759000000001, -87.576385999999999)"
JACKSON (ANDREW),19,PLAYGROUND,OUTDOOR,1188869.80253,1860962.2118299999,"(41.773542999999997, -87.583192999999994)"
JACKSON (ANDREW),19,BASEBALL JR/SOFTBALL,OUTDOOR,1189159.86198,1863101.9785500001,"(41.779407999999997, -87.582060999999996)"
JACKSON (ANDREW),19,BASEBALL JR/SOFTBALL,OUTDOOR,1188871.6306100001,1863223.8083599999,"(41.779749000000002, -87.583113999999995)"
JACKSON (ANDREW),19,BASEBALL JR/SOFTBALL,OUTDOOR,1188743.8578999999,1862926.6626299999,"(41.778936999999999, -87.583591999999996)"
JENSEN (CHRIST),82,GYMNASIUM,INDOOR,1150676.3894100001,1930854.3135200001,"(41.966163999999999, -87.721374999999995)"
KELLY (EDWARD),260,BASKETBALL COURT,OUTDOOR,1158601.22789,1876950.1523,"(41.818086999999998, -87.693714999999997)"
KELVYN (WILLIAM),126,GYMNASIUM,INDOOR,1146219.11781,1917321.37142,"(41.929113999999998, -87.738110000000006)"
KENNICOTT (JONATHAN),485,GYMNASIUM,INDOOR,1184865.58317,1875787.64445,"(41.814320000000002, -87.597406000000007)"
KILBOURN,84,TRACK,OUTDOOR,1146056.0554800001,1922585.3622099999,"(41.943562, -87.738574999999997)"
KOSCIUSZKO (THADEUZ),120,BASKETBALL BACKBOARD,OUTDOOR,1150009.52788,1918256.5178499999,"(41.931607999999997, -87.724157000000005)"
KOSCIUSZKO (THADEUZ),120,BASKETBALL BACKBOARD,OUTDOOR,1149924.14387,1918254.62054,"(41.931604, -87.724469999999997)"
LINCOLN (ABRAHAM),100,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1171679.3132799999,1930043.48016,"(41.963501000000001, -87.644176000000002)"
LINCOLN (ABRAHAM),100,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1172388.8263000001,1930227.7186400001,"(41.963991, -87.641561999999993)"
LINCOLN (ABRAHAM),100,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1172247.7078199999,1930600.11488,"(41.965015999999999, -87.642069000000006)"
LINCOLN (ABRAHAM),100,FITNESS CENTER,INDOOR,1170058.85032,1933310.19738,"(41.972501000000001, -87.650037999999995)"
LINCOLN (ABRAHAM),100,GYMNASIUM,INDOOR,1170070.3765400001,1933261.2109300001,"(41.972366000000001, -87.649996999999999)"
LOYOLA,115,SHUFFLEBOARD,SPECIAL,1167150.9398000001,1947168.5354800001,"(42.010592000000003, -87.660330000000002)"
LOYOLA,115,SHUFFLEBOARD,SPECIAL,1167143.9608100001,1947163.1982199999,"(42.010576999999998, -87.660355999999993)"
LOYOLA,115,SHUFFLEBOARD,SPECIAL,1167136.9814899999,1947157.0401000001,"(42.010559999999998, -87.660381999999998)"
LOYOLA,115,BOXING CENTER,INDOOR,1166861.6231199999,1947289.8656200001,"(42.010930999999999, -87.661390999999995)"
MARQUETTE (JACQUES),10,HORSESHOE COURT,OUTDOOR,1156671.44304,1859590.3805800001,"(41.770488999999998, -87.701262)"
MARQUETTE (JACQUES),10,HORSESHOE COURT,OUTDOOR,1156660.9177999999,1859590.93472,"(41.770490000000002, -87.701300000000003)"
MARQUETTE (JACQUES),10,HORSESHOE COURT,OUTDOOR,1156650.39255,1859591.4885199999,"(41.770491999999997, -87.701339000000004)"
OGDEN (WILLIAM),8,BOXING CENTER,INDOOR,1169390.24175,1861312.8118499999,"(41.774948999999999, -87.654589999999999)"
PASCHEN (CHRISTIAN),1057,VOLLEYBALL,OUTDOOR,1161884.9519700001,1946590.6816499999,"(42.009118000000001, -87.679721999999998)"
PETERSON (PEHR SAMUEL),452,BASKETBALL BACKBOARD,OUTDOOR,1150495.91307,1938901.75116,"(41.988250000000001, -87.721828000000002)"
PETERSON (PEHR SAMUEL),452,BASKETBALL BACKBOARD,OUTDOOR,1150495.2083399999,1938894.70688,"(41.988230999999999, -87.721830999999995)"
PIOTROWSKI (LILLIAN),230,WATER PLAYGROUND,OUTDOOR,1148535.8517,1883447.96049,"(41.836117999999999, -87.730470999999994)"
PORTAGE,147,SENIOR CENTER,INDOOR,1138516.95737,1927102.12745,"(41.956097, -87.766175000000004)"
PULASKI (CASIMER),217,BASEBALL JR/SOFTBALL,OUTDOOR,1166558.7887500001,1909029.8315699999,"(41.905949999999997, -87.663606000000001)"
PULASKI (CASIMER),217,GYMNASIUM,INDOOR,1166547.79993,1909291.02889,"(41.906666999999999, -87.663639000000003)"
RAINBOW BEACH,1001,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1198040.9853000001,1855107.23896,"(41.757252000000001, -87.549768999999998)"
SCHREIBER,1061,SPRAY FEATURE,OUTDOOR,1164539.28688,1943104.3319900001,"(41.999495000000003, -87.670055000000005)"
